Valor,Histo,EqHisto
0,0,0
1,0,4906
2,0,10115
3,0,8563
4,1,11801
5,0,10736
6,5,11167
7,10,9317
8,32,11041
9,51,9584
10,104,11341
11,196,9164
12,217,9785
13,261,11928
14,351,11314
15,563,8245
16,888,13228
17,825,9400
18,722,11695
19,680,4569
20,1055,15432
21,1193,10323
22,1317,7679
23,1324,9984
24,1490,7766
25,1682,16450
26,2054,8431
27,2134,9188
28,2251,8543
29,1910,15625
30,2268,8501
31,2886,9822
32,2914,10435
33,2314,11111
34,1530,10834
35,2157,11250
36,2606,11403
37,2585,11641
38,2637,0
39,2908,12900
40,2821,15830
41,2748,13264
42,2756,7449
43,2842,10893
44,3296,0
45,3423,15238
46,2598,0
47,2636,27612
48,2867,10173
49,2312,13097
50,3226,0
51,1820,13695
52,2332,13948
53,2741,13769
54,2691,0
55,2687,13990
56,2742,14456
57,2936,0
58,2976,15960
59,3096,15095
60,2989,0
61,3079,14934
62,3151,15082
63,3130,16287
64,3504,0
65,4452,20113
66,3698,0
67,3778,21108
68,3532,9292
69,4109,0
70,3673,14543
71,4532,18761
72,3713,0
73,5618,0
74,5117,23471
75,2493,17277
76,3684,10187
77,5716,0
78,7479,15623
79,4216,0
80,4569,23016
81,6847,0
82,8585,0
83,5242,28022
84,5081,13542
85,7679,12260
86,9984,0
87,7766,17797
88,8324,0
89,8126,23984
90,8431,0
91,9188,0
92,8543,31405
93,9758,12114
94,5867,0
95,8501,14693
96,9822,19163
97,10435,0
98,11111,19897
99,10834,0
100,11250,20872
101,11403,0
102,11641,0
103,12900,23405
104,15830,0
105,13264,22114
106,7449,0
107,10893,20932
108,15238,0
109,19840,20578
110,7772,0
111,10173,20968
112,13097,0
113,13695,22340
114,13948,0
115,13769,23828
116,13990,0
117,14456,21922
118,15960,0
119,15095,22241
120,14934,0
121,15082,0
122,16287,28174
123,20113,0
124,21108,0
125,9292,31629
126,14543,12904
127,18761,0
128,23471,17278
129,17277,0
130,10187,21665
131,15623,0
132,23016,0
133,28022,28215
134,13542,0
135,12260,0
136,17797,31255
137,23984,12743
138,31405,17068
139,12114,0
140,14693,20998
141,19163,0
142,19897,0
143,20872,27245
144,23405,0
145,22114,0
146,20932,31757
147,20578,12633
148,20968,0
149,22340,15777
150,23828,0
151,21922,19639
152,22241,0
153,28174,25647
154,31629,0
155,12904,0
156,17278,32854
157,21665,12213
158,28215,0
159,31255,13182
160,12743,17691
161,17068,0
162,20998,20044
163,27245,0
164,31757,22979
165,12633,0
166,15777,19257
167,19639,0
168,25647,17681
169,32854,0
170,12213,18318
171,13182,0
172,17691,21143
173,20044,0
174,22979,21434
175,19257,0
176,17681,24831
177,18318,0
178,21143,19946
179,21434,9101
180,24831,15916
181,19946,0
182,9101,17308
183,15916,0
184,17308,21149
185,21149,0
186,23257,23257
187,9346,9346
188,11179,11179
189,14020,0
190,18078,14020
191,26567,18078
192,9307,0
193,6983,0
194,12322,26567
195,18497,16290
196,19959,0
197,12419,12322
198,6039,18497
199,12657,0
200,13039,19959
201,15943,12419
202,20007,6039
203,15135,12657
204,10078,13039
205,6375,0
206,3973,15943
207,10618,0
208,14148,20007
209,11643,15135
210,5029,10078
211,7772,10348
212,8192,10618
213,8871,0
214,12019,14148
215,12360,16672
216,8171,7772
217,3774,8192
218,7814,8871
219,10122,12019
220,8246,12360
221,3345,11945
222,4872,7814
223,5338,18368
224,6029,8217
225,7258,11367
226,7785,7258
227,7454,15239
228,5693,7982
229,2289,10917
230,4343,9742
231,6574,6263
232,2582,13859
233,2955,13682
234,4205,6052
235,6263,14691
236,7551,8645
237,6308,7224
238,5341,13489
239,4659,0
240,1983,0
241,1699,27951
242,6052,0
243,7941,26178
244,6750,0
245,3063,0
246,5582,23381
247,7224,12131
248,13489,0
249,27951,25446
250,26178,0
251,23381,0
252,12131,32028
253,25446,0
254,32028,0
255,29168,29168
