Valor,Histo,EqHisto
0,44770,0
1,74242,44770
2,201499,0
3,117502,0
4,68218,0
5,47479,0
6,33814,0
7,26309,0
8,22103,0
9,20883,0
10,20636,0
11,20788,0
12,21001,0
13,20739,74242
14,21274,0
15,21296,0
16,21375,0
17,20355,0
18,18399,0
19,17207,0
20,16366,0
21,15147,0
22,14210,0
23,13037,0
24,11620,0
25,11013,0
26,9656,0
27,8794,0
28,8201,0
29,7506,0
30,7051,0
31,6486,0
32,6065,0
33,5853,0
34,5672,0
35,5156,0
36,5096,0
37,4797,0
38,4595,0
39,4640,0
40,4528,0
41,4460,0
42,4334,0
43,4313,0
44,4123,0
45,4154,0
46,4019,0
47,4022,201499
48,3859,0
49,3762,0
50,3743,0
51,3554,0
52,3353,0
53,3439,0
54,3436,0
55,3360,0
56,3251,0
57,3244,0
58,3123,0
59,3044,0
60,2922,0
61,2982,0
62,2938,0
63,2908,0
64,2900,0
65,2767,0
66,2797,117502
67,2708,0
68,2685,0
69,2552,0
70,2582,0
71,2553,0
72,2561,0
73,2382,0
74,2484,0
75,2543,0
76,2512,0
77,2503,68218
78,2543,0
79,2469,0
80,2525,0
81,2513,0
82,2570,0
83,2582,0
84,2557,0
85,2610,47479
86,2477,0
87,2520,0
88,2614,0
89,2665,0
90,2708,0
91,2650,33814
92,2754,0
93,2713,0
94,2654,0
95,2713,26309
96,2829,0
97,2974,0
98,2827,0
99,2887,22103
100,2936,0
101,2969,0
102,2881,20883
103,3002,0
104,3032,0
105,3000,0
106,3001,20636
107,3117,0
108,3101,0
109,3134,20788
110,3096,0
111,3088,0
112,3159,0
113,3037,21001
114,3103,0
115,3077,0
116,3201,20739
117,3067,0
118,3053,0
119,3085,0
120,3033,21274
121,3007,0
122,2980,0
123,3024,21296
124,2968,0
125,2876,0
126,2966,0
127,2880,21375
128,2799,0
129,2717,0
130,2777,20355
131,2625,0
132,2585,0
133,2543,18399
134,2587,0
135,2515,0
136,2529,17207
137,2437,0
138,2360,0
139,2330,16366
140,2309,0
141,2297,15147
142,2381,0
143,2293,0
144,2241,14210
145,2207,0
146,2147,13037
147,2115,0
148,2134,11620
149,2077,11013
150,2019,0
151,2076,9656
152,2009,8794
153,1911,0
154,1897,8201
155,1856,7506
156,1915,7051
157,1896,6486
158,1897,6065
159,1801,5853
160,1815,5672
161,1748,5156
162,1716,5096
163,1799,9392
164,1769,4640
165,1717,4528
166,1749,8794
167,1659,4313
168,1659,4123
169,1640,8173
170,1690,4022
171,1711,7621
172,1614,7297
173,1562,6792
174,1592,3436
175,1589,6611
176,1534,6367
177,1594,5966
178,1510,5920
179,1559,5808
180,1496,8272
181,1518,5237
182,1492,5135
183,1488,7427
184,1440,5055
185,1477,5046
186,1342,7507
187,1376,5152
188,1377,7644
189,1363,5134
190,1375,5373
191,1298,5404
192,1351,8080
193,1337,5803
194,1320,5714
195,1286,5905
196,1267,5883
197,1297,6032
198,1274,6118
199,1281,6235
200,1315,6184
201,1274,6196
202,1282,6180
203,1251,6268
204,1301,6138
205,1228,6040
206,1303,6004
207,1269,5844
208,1333,5846
209,1305,5516
210,1335,5402
211,1387,7715
212,1377,5044
213,1428,7127
214,1413,4606
215,1538,6915
216,1524,6469
217,1596,4211
218,1548,8015
219,1578,5668
220,1571,5594
221,1580,5279
222,1620,7034
223,1577,6648
224,1504,4887
225,1450,6309
226,1490,6083
227,1426,5897
228,1453,6833
229,1431,5306
230,1333,6405
231,1312,6423
232,1301,5133
233,1260,6832
234,1295,6071
235,1186,6277
236,1170,4701
237,1135,7250
238,1165,5206
239,1107,5951
240,996,6301
241,1075,5865
242,1043,5573
243,1043,0
244,1037,0
245,1084,14660
246,1090,0
247,1084,0
248,1221,0
249,1386,0
250,1525,34749
251,1799,0
252,2249,0
253,14660,0
254,34749,0
255,27576,27576
